Energy(calc),Energy,Sum,Scan1,Scan2,KMG,BE1,Fermi,BE
200,199.05,105563,50312,55251,1253.6,1047.95,9,1054.55
199.8,198.85,106829,51128,55701,1253.6,1048.15,9,1054.75
199.6,198.58,107185,51318,55867,1253.6,1048.42,9,1055.02
199.4,198.42,107657,51369,56288,1253.6,1048.58,9,1055.18
199.2,198.21,107535,51473,56062,1253.6,1048.79,9,1055.39
199,198.04,107152,51350,55802,1253.6,1048.96,9,1055.56
198.8,197.81,107335,51441,55894,1253.6,1049.19,9,1055.79
198.6,197.63,107500,51385,56115,1253.6,1049.37,9,1055.97
198.4,197.5,107749,51537,56212,1253.6,1049.5,9,1056.1
198.2,197.3,108135,51840,56295,1253.6,1049.7,9,1056.3
198,197.09,108515,51746,56769,1253.6,1049.91,9,1056.51
197.8,196.89,109119,52080,57039,1253.6,1050.11,9,1056.71
197.6,196.7,108578,52275,56303,1253.6,1050.3,9,1056.9
197.4,196.43,109305,52552,56753,1253.6,1050.57,9,1057.17
197.2,196.22,108924,52036,56888,1253.6,1050.78,9,1057.38
197,196.05,108439,51881,56558,1253.6,1050.95,9,1057.55
196.8,195.83,109098,52416,56682,1253.6,1051.17,9,1057.77
196.6,195.62,109081,52437,56644,1253.6,1051.38,9,1057.98
196.4,195.47,109722,52657,57065,1253.6,1051.53,9,1058.13
196.2,195.28,109568,52524,57044,1253.6,1051.72,9,1058.32
196,195.14,110995,53013,57982,1253.6,1051.86,9,1058.46
195.8,194.95,110175,53138,57037,1253.6,1052.05,9,1058.65
195.6,194.75,111162,53149,58013,1253.6,1052.25,9,1058.85
195.4,194.56,111358,53578,57780,1253.6,1052.44,9,1059.04
195.2,194.32,112614,53925,58689,1253.6,1052.68,9,1059.28
195,194.11,111892,53372,58520,1253.6,1052.89,9,1059.49
194.8,193.91,112400,53950,58450,1253.6,1053.09,9,1059.69
194.6,193.71,112512,53941,58571,1253.6,1053.29,9,1059.89
194.4,193.45,113186,53767,59419,1253.6,1053.55,9,1060.15
194.2,193.27,113318,54441,58877,1253.6,1053.73,9,1060.33
194,193.1,113676,54280,59396,1253.6,1053.9,9,1060.5
193.8,192.91,113941,54456,59485,1253.6,1054.09,9,1060.69
193.6,192.72,114240,54599,59641,1253.6,1054.28,9,1060.88
193.4,192.61,115308,55424,59884,1253.6,1054.39,9,1060.99
193.2,192.43,115373,55707,59666,1253.6,1054.57,9,1061.17
193,192.16,116053,56165,59888,1253.6,1054.84,9,1061.44
192.8,191.97,116750,57134,59616,1253.6,1055.03,9,1061.63
192.6,191.76,118098,58317,59781,1253.6,1055.24,9,1061.84
192.4,191.56,118551,58447,60104,1253.6,1055.44,9,1062.04
192.2,191.31,117881,57318,60563,1253.6,1055.69,9,1062.29
192,191.09,117640,57308,60332,1253.6,1055.91,9,1062.51
191.8,190.89,117508,57250,60258,1253.6,1056.11,9,1062.71
191.6,190.67,119794,59059,60735,1253.6,1056.33,9,1062.93
191.4,190.54,118044,57234,60810,1253.6,1056.46,9,1063.06
191.2,190.39,118292,57517,60775,1253.6,1056.61,9,1063.21
191,190.25,116404,55478,60926,1253.6,1056.75,9,1063.35
190.8,190.02,115066,53632,61434,1253.6,1056.98,9,1063.58
190.6,189.84,113809,52656,61153,1253.6,1057.16,9,1063.76
190.4,189.65,115160,54035,61125,1253.6,1057.35,9,1063.95
190.2,189.38,113908,52595,61313,1253.6,1057.62,9,1064.22
190,189.17,114267,52506,61761,1253.6,1057.83,9,1064.43
189.8,188.99,112865,50975,61890,1253.6,1058.01,9,1064.61
189.6,188.8,114694,52918,61776,1253.6,1058.2,9,1064.8
189.4,188.54,115625,53198,62427,1253.6,1058.46,9,1065.06
189.2,188.37,116867,54865,62002,1253.6,1058.63,9,1065.23
189,188.19,119085,56441,62644,1253.6,1058.81,9,1065.41
188.8,188.01,118528,55622,62906,1253.6,1058.99,9,1065.59
188.6,187.82,117461,54291,63170,1253.6,1059.18,9,1065.78
188.4,187.66,117819,54324,63495,1253.6,1059.34,9,1065.94
188.2,187.48,119079,55629,63450,1253.6,1059.52,9,1066.12
188,187.23,118164,54849,63315,1253.6,1059.77,9,1066.37
187.8,187.02,118424,55259,63165,1253.6,1059.98,9,1066.58
187.6,186.81,118970,55846,63124,1253.6,1060.19,9,1066.79
187.4,186.66,117570,53636,63934,1253.6,1060.34,9,1066.94
187.2,186.35,118761,54561,64200,1253.6,1060.65,9,1067.25
187,186.14,118942,54875,64067,1253.6,1060.86,9,1067.46
186.8,185.98,118382,54052,64330,1253.6,1061.02,9,1067.62
186.6,185.76,117063,52454,64609,1253.6,1061.24,9,1067.84
186.4,185.6,116869,52525,64344,1253.6,1061.4,9,1068
186.2,185.45,117868,52449,65419,1253.6,1061.55,9,1068.15
186,185.28,119356,54274,65082,1253.6,1061.72,9,1068.32
185.8,185.02,121191,55289,65902,1253.6,1061.98,9,1068.58
185.6,184.89,121660,55750,65910,1253.6,1062.11,9,1068.71
185.4,184.69,121972,56308,65664,1253.6,1062.31,9,1068.91
185.2,184.46,122548,56383,66165,1253.6,1062.54,9,1069.14
185,184.23,121823,55513,66310,1253.6,1062.77,9,1069.37
184.8,184.05,123334,56452,66882,1253.6,1062.95,9,1069.55
184.6,183.84,121330,54774,66556,1253.6,1063.16,9,1069.76
184.4,183.62,122274,55278,66996,1253.6,1063.38,9,1069.98
184.2,183.44,121462,53732,67730,1253.6,1063.56,9,1070.16
184,183.26,121831,54032,67799,1253.6,1063.74,9,1070.34
183.8,183.11,121523,53685,67838,1253.6,1063.89,9,1070.49
183.6,182.89,124531,55997,68534,1253.6,1064.11,9,1070.71
183.4,182.71,124866,55917,68949,1253.6,1064.29,9,1070.89
183.2,182.53,125238,55930,69308,1253.6,1064.47,9,1071.07
183,182.33,125074,55820,69254,1253.6,1064.67,9,1071.27
182.8,182.07,125505,56325,69180,1253.6,1064.93,9,1071.53
182.6,181.88,126651,56996,69655,1253.6,1065.12,9,1071.72
182.4,181.69,125998,55819,70179,1253.6,1065.31,9,1071.91
182.2,181.42,126984,56167,70817,1253.6,1065.58,9,1072.18
182,181.24,127785,57002,70783,1253.6,1065.76,9,1072.36
181.8,181.09,129549,58449,71100,1253.6,1065.91,9,1072.51
181.6,180.9,130650,58847,71803,1253.6,1066.1,9,1072.7
181.4,180.69,131774,59306,72468,1253.6,1066.31,9,1072.91
181.2,180.51,131964,59550,72414,1253.6,1066.49,9,1073.09
181,180.32,131422,59762,71660,1253.6,1066.68,9,1073.28
180.8,180.11,133325,62693,70632,1253.6,1066.89,9,1073.49
180.6,179.91,134103,63243,70860,1253.6,1067.09,9,1073.69
180.4,179.7,134731,63428,71303,1253.6,1067.3,9,1073.9
180.2,179.56,134734,63069,71665,1253.6,1067.44,9,1074.04
180,179.29,136889,64341,72548,1253.6,1067.71,9,1074.31
179.8,179.11,139765,66869,72896,1253.6,1067.89,9,1074.49
179.6,178.91,140785,68073,72712,1253.6,1068.09,9,1074.69
179.4,178.73,143024,68950,74074,1253.6,1068.27,9,1074.87
179.2,178.48,146615,72245,74370,1253.6,1068.52,9,1075.12
179,178.3,153364,77738,75626,1253.6,1068.7,9,1075.3
178.8,178.15,154996,79150,75846,1253.6,1068.85,9,1075.45
178.6,177.92,156661,79529,77132,1253.6,1069.08,9,1075.68
178.4,177.76,157235,80580,76655,1253.6,1069.24,9,1075.84
178.2,177.58,158665,81464,77201,1253.6,1069.42,9,1076.02
178,177.41,158213,80927,77286,1253.6,1069.59,9,1076.19
177.8,177.12,162088,81015,81073,1253.6,1069.88,9,1076.48
177.6,176.92,163619,82272,81347,1253.6,1070.08,9,1076.68
177.4,176.73,163503,81914,81589,1253.6,1070.27,9,1076.87
177.2,176.49,164302,82512,81790,1253.6,1070.51,9,1077.11
177,176.29,164839,82551,82288,1253.6,1070.71,9,1077.31
