Make,Model,Year,Variant,Kms,Price,Doors,Kind,Location
Volkswagen,Vento,2012,2.5 Luxury 170cv,99950,360000,4.0,Sedán,Córdoba
Ford,Ranger,2012,2.3 Cd Xl Plus 4x2,140000,320000,2.0,Pick-Up,Entre Ríos
Volkswagen,Fox,2011,1.6 Trendline,132000,209980,5.0,Hatchback,Bs.as. G.b.a. Sur
Ford,Ranger,2017,3.2 Cd Xls Tdci 200cv Automática,13000,798000,4.0,Pick-Up,Neuquén
Volkswagen,Gol,2013,1.4 Power 83cv 3 p,107000,146000,3.0,Hatchback,Córdoba
Volkswagen,Amarok,2014,2.0 Cd Tdi 180cv 4x4 Highline C34,115000,790000,4.0,Pick-Up,Buenos Aires Interior
Ford,Ka,2012,1.0 Fly Viral 63cv,95243,142000,3.0,Hatchback,Bs.as. G.b.a. Sur
Ford,Ka,2012,1.6 Fly Viral 95cv,110000,148000,3.0,Hatchback,Buenos Aires Interior
Ford,Focus III,2017,1.6 S,17500,367000,5.0,Hatchback,Buenos Aires Interior
Ford,Fiesta Kinetic Design,2014,1.6 Sedan Titanium Powershift 120cv,43000,287000,4.0,Sedán,Bs.as. G.b.a. Norte
Volkswagen,Amarok,2014,2.0 Cd Tdi 4x4 Highline Pack At C34,79900,685000,4.0,Pick-Up,Bs.as. G.b.a. Norte
Ford,Focus II,2012,1.6 Style Sigma,99000,219000,5.0,Hatchback,Capital Federal
Ford,Focus III,2014,2.0 Sedan Se Plus Mt,45000,300000,4.0,Sedán,Capital Federal
Volkswagen,Gol Trend,2013,1.6 Pack I 101cv,62000,190000,5.0,Hatchback,Bs.as. G.b.a. Oeste
Volkswagen,Amarok,2012,2.0 Cd Tdi 4x2 Highline Pack 2,117000,565000,4.0,Pick-Up,Buenos Aires Interior
Ford,Focus III,2015,2.0 Se Plus Mt,55300,470000,5.0,Hatchback,Bs.as. G.b.a. Oeste
Volkswagen,Amarok,2011,2.0 Cd Tdi 163cv 4x2 Trendline 1t2,100000,450000,4.0,Pick-Up,Buenos Aires Interior
Volkswagen,Gol,2011,1.4 Power Ps+ac 83cv,115000,150000,5.0,Hatchback,Bs.as. G.b.a. Norte
Ford,Ecosport,2012,1.6 My10 Xl Plus Mp3 4x2,110000,215000,5.0,SUV,Bs.as. G.b.a. Oeste
Volkswagen,Up!,2015,1.0 Take Up! Aa 75cv,38000,220000,3.0,Hatchback,Bs.as. G.b.a. Sur
Volkswagen,Bora,2011,1.8 Highline T Tiptronic Cuero,85000,225000,4.0,Sedán,Tierra Del Fuego
Ford,Fiesta Kinetic Design,2014,1.6 Titanium 120cv,51000,355000,5.0,Hatchback,Capital Federal
Volkswagen,Gol Trend,2015,1.6 Trendline 101cv 3p,19000,215000,3.0,Hatchback,Bs.as. G.b.a. Oeste
Volkswagen,Fox,2012,1.6 Highline,55000,220000,5.0,Hatchback,Santa Fe
Mercedes Benz,Sprinter,2015,2.1 415 3665 Te Mixto 4+1 Silver,45000,999999,2.0,Furgón,Capital Federal
Volkswagen,Fox,2011,1.6 Highline,79800,215000,5.0,Hatchback,Capital Federal
Honda,Civic,2011,1.8 Exs At,120000,295000,4.0,Sedán,Buenos Aires Interior
Volkswagen,Saveiro,2014,1.6 Cs 101cv,90000,240000,2.0,Pick-Up,Buenos Aires Interior
Volkswagen,Gol Trend,2013,1.6 Pack I 101cv,99600,208000,5.0,Hatchback,Bs.as. G.b.a. Norte
Volkswagen,Saveiro,2017,1.6 Gp Ce 101cv Safety + Pack High,20000,370000,2.0,Pick-Up,Córdoba
Volkswagen,Gol,2012,1.4 Power Ps+ac 83cv,94000,165000,5.0,Hatchback,Bs.as. G.b.a. Oeste
Volkswagen,Amarok,2013,2.0 Cs Tdi 140cv 4x2 Startline,108264,480000,2.0,Pick-Up,Mendoza
Volkswagen,Gol Trend,2013,1.6 Pack Ii 101cv,108000,220000,5.0,Hatchback,Bs.as. G.b.a. Sur
Volkswagen,Amarok,2012,2.0 Cd Tdi 180cv 4x2 Trendline B33,176000,459000,4.0,Pick-Up,Bs.as. G.b.a. Norte
Volkswagen,Vento,2013,2.0 Sportline Tsi 200cv,68200,530000,4.0,Sedán,Bs.as. G.b.a. Sur
Ford,Focus III,2016,2.0 Sedan Se Plus Mt,15022,550000,4.0,Sedán,Bs.as. G.b.a. Sur
Volkswagen,Voyage,2013,1.6 101cv,56000,240000,4.0,Sedán,Bs.as. G.b.a. Sur
Ford,Fiesta,2012,1.6 Max One Ambiente Plus 98cv,77000,230000,4.0,Sedán,Bs.as. G.b.a. Sur
Mercedes Benz,Clase GLK,2012,3.0 Glk300 4matic Sport 231cv At,98000,719990,5.0,SUV,Capital Federal
Ford,Focus III,2013,2.0 Sedan Titanium Mt,85000,440000,4.0,Sedán,Capital Federal
Volkswagen,Tiguan,2011,2.0 Sport & Style Tsi 200cv Tiptronic,89000,389000,5.0,SUV,Capital Federal
Honda,City,2013,1.5 Ex-l At 120cv,96000,298000,4.0,Sedán,Bs.as. G.b.a. Norte
Volkswagen,Amarok,2012,2.0 Cd Tdi 122cv 4x2 Startline S22,118500,440000,4.0,Pick-Up,Bs.as. G.b.a. Sur
Ford,Ka,2011,1.0 Fly Viral Usb/bluetooth,82000,145000,3.0,Hatchback,Bs.as. G.b.a. Oeste
Honda,Fit,2012,1.5 Ex-l At 120cv l09,104000,325000,5.0,Hatchback,Capital Federal
Volkswagen,Passat,2012,2.0 Luxury Tsi 211cv,118000,420000,4.0,Sedán,Bs.as. G.b.a. Norte
Volkswagen,Gol Trend,2012,1.6 Pack I 101cv,69000,160000,5.0,Hatchback,Bs.as. G.b.a. Oeste
Ford,Ka,2012,1.0 Fly Viral 63cv,50000,145000,3.0,Hatchback,Bs.as. G.b.a. Sur
Mercedes Benz,Clase GLK,2013,3.5 Glk300 4matic 247cv At,93000,780000,5.0,SUV,Santa Fe
Ford,Focus III,2016,1.6 S,39000,454800,5.0,Hatchback,Bs.as. G.b.a. Sur
