,make,model,year,kms,kind,price
517,Ford,Ranger,2013,61500,Pick-Up,18783.78
5533,Ford,Focus III,2017,9500,Sedán,13513.51
1560,Volkswagen,Bora,2011,58000,Sedán,8081.08
5413,Volkswagen,Gol,2011,100000,Hatchback,3513.51
8276,Volkswagen,Suran,2011,89000,Monovolumen,5402.7
1080,Volkswagen,Polo,2016,23950,Hatchback,9459.46
7431,Ford,Ecosport,2015,59000,SUV,12162.16
595,Volkswagen,Gol Trend,2014,60000,Hatchback,5675.68
7135,Ford,Ranger,2015,55000,Pick-Up,14864.86
6505,Ford,Ka,2011,50052,Hatchback,4594.59
8466,Honda,CR-V,2013,69000,SUV,554.05
8286,Volkswagen,Amarok,2015,98780,Pick-Up,18243.24
1105,Volkswagen,Vento,2011,130000,Sedán,10540.54
7622,Volkswagen,Gol,2013,50000,Hatchback,4189.19
4922,Ford,Ecosport,2012,72000,SUV,6483.78
489,Volkswagen,Suran,2012,92500,Monovolumen,6432.43
1541,Volkswagen,Gol Trend,2013,125000,Hatchback,5675.68
2571,Volkswagen,Vento,2011,96000,Sedán,9729.73
421,Volkswagen,Saveiro,2016,27000,Pick-Up,11081.08
3832,Ford,Focus II,2011,92000,Hatchback,6216.22
3377,Volkswagen,Suran Cross,2017,30000,Monovolumen,13918.92
1735,Volkswagen,Amarok,2017,36300,Pick-Up,17432.43
9538,Honda,Fit,2011,70000,Hatchback,6189.19
8495,Volkswagen,Gol,2011,72600,Hatchback,3918.92
7824,Honda,Civic,2013,44500,Sedán,9324.32
1766,Volkswagen,Saveiro,2016,46000,Pick-Up,9459.46
7482,Volkswagen,Suran,2013,81000,Monovolumen,7027.03
6437,Ford,Fiesta Kinetic Design,2013,115000,Sedán,6756.76
7837,Volkswagen,Amarok,2013,140000,Pick-Up,16216.22
2922,Volkswagen,Vento,2013,87000,Sedán,10783.78
8703,Ford,Ka,2012,51000,Hatchback,4405.41
108,Volkswagen,Amarok,2012,100000,Pick-Up,12162.16
159,Volkswagen,Suran,2012,80000,Monovolumen,5945.95
7114,Honda,HR-V,2016,26000,SUV,20675.68
6233,Honda,Fit,2011,128000,Hatchback,6216.22
1372,Ford,Ranger,2015,76000,Pick-Up,20810.81
1680,Ford,Fiesta Kinetic Design,2018,17000,Hatchback,10810.81
1939,Ford,Fiesta Kinetic Design,2016,32000,Hatchback,9054.05
4716,Ford,Ranger,2016,50000,Pick-Up,15540.54
3745,Ford,Focus III,2013,85000,Sedán,10756.76
5071,Ford,Ka,2012,79000,Hatchback,3648.65
2003,Volkswagen,Suran,2016,58000,Monovolumen,7702.7
8738,Volkswagen,Bora,2011,117000,Sedán,6189.19
5588,Ford,Fiesta Kinetic Design,2016,32000,Hatchback,8243.24
2173,Ford,Ka,2011,58000,Hatchback,4729.73
2997,Mercedes Benz,Clase A,2015,20000,Hatchback,1027.03
6027,Ford,Fiesta Kinetic Design,2015,31000,Hatchback,11216.22
3375,Volkswagen,Passat,2013,119638,Sedán,16143.24
4455,Ford,Focus III,2016,67000,Hatchback,10540.54
3548,Ford,Focus II,2011,109000,Sedán,5675.68
1882,Volkswagen,Scirocco,2013,55000,Coupé,13486.49
7581,Ford,Fiesta Kinetic Design,2015,38600,Hatchback,10675.68
2162,Ford,Focus III,2014,35000,Hatchback,11486.49
4342,Ford,Ecosport,2011,69000,SUV,6618.92
2063,Ford,Ecosport,2013,69000,SUV,10243.24
9674,Ford,Ranger,2013,125000,Pick-Up,16756.76
1647,Ford,Ka,2011,75000,Hatchback,4297.3
836,Volkswagen,Saveiro,2016,70000,Pick-Up,7297.3
6797,Ford,Ecosport,2013,80000,SUV,9054.05
3779,Honda,City,2012,120000,Sedán,6756.76
4407,Mercedes Benz,Clase C,2012,60000,Sedán,13243.24
9767,Ford,Ecosport,2014,52500,SUV,9324.32
6384,Volkswagen,Gol Trend,2011,138000,Hatchback,4756.76
2889,Ford,Kuga,2012,76000,SUV,10270.27
9151,Ford,Ecosport,2017,25000,SUV,13243.24
8097,Volkswagen,Suran,2012,135000,Monovolumen,5270.27
4409,Ford,Ranger,2014,150000,Pick-Up,17567.57
7035,Ford,Focus III,2014,70000,Hatchback,9729.73
6375,Volkswagen,Amarok,2012,107556,Pick-Up,12702.7
7314,Volkswagen,Gol Trend,2011,108000,Hatchback,4729.73
6194,Honda,HR-V,2017,24500,SUV,18381.08
1529,Volkswagen,Amarok,2016,39000,Pick-Up,21351.35
4089,Ford,Ka,2013,80000,Hatchback,4594.59
9059,Ford,Kuga,2013,107000,SUV,11351.35
5570,Volkswagen,Bora,2013,109298,Sedán,7162.16
3496,Ford,Ka,2013,61500,Hatchback,4054.05
1983,Volkswagen,Bora,2011,149870,Sedán,5675.68
8808,Honda,City,2013,109000,Sedán,8378.35
9287,Ford,Ka,2013,36000,Hatchback,4864.86
3387,Volkswagen,Bora,2013,122500,Sedán,8648.65
1663,Volkswagen,Saveiro,2016,39000,Pick-Up,8378.38
2927,Volkswagen,Vento,2012,132000,Sedán,10513.51
5468,Ford,Focus II,2013,62000,Sedán,6216.22
2620,Volkswagen,Gol Trend,2011,95376,Hatchback,4513.51
1101,Ford,Fiesta Kinetic Design,2011,119000,Hatchback,6756.76
3800,Volkswagen,Bora,2013,123000,Sedán,8648.65
4117,Ford,Fiesta Kinetic Design,2016,45000,Sedán,10135.14
497,Ford,Ecosport,2013,72000,SUV,8918.92
9334,Volkswagen,Suran,2016,24000,Monovolumen,9729.73
3290,Volkswagen,Suran,2013,70000,Monovolumen,7837.84
8230,Volkswagen,Bora,2014,60000,Sedán,6540.54
4918,Ford,Ecosport,2013,96000,SUV,9000.0
6096,Ford,Ranger,2016,12457,Pick-Up,15675.68
4371,Volkswagen,Vento,2012,54000,Sedán,9864.86
9400,Ford,Fiesta Kinetic Design,2011,77000,Hatchback,6081.08
7018,Ford,Kuga,2011,118500,SUV,11621.62
3244,Volkswagen,Vento,2016,25000,Sedán,13486.49
4979,Volkswagen,Saveiro,2017,11000,Pick-Up,9997.3
6442,Ford,Focus II,2013,83000,Sedán,7432.43
5553,Volkswagen,The Beetle,2016,45000,Hatchback,16081.08
955,Honda,CR-V,2013,105000,SUV,17567.57
3690,Volkswagen,Polo,2016,51200,Hatchback,8378.38
3601,Volkswagen,Amarok,2015,42481,Pick-Up,15000.0
7041,Volkswagen,Gol Trend,2015,60000,Hatchback,6348.65
7331,Volkswagen,Amarok,2016,29000,Pick-Up,18648.65
6745,Ford,Focus III,2013,75000,Hatchback,8108.08
7432,Volkswagen,Suran,2015,44000,Monovolumen,324.32
6489,Ford,Fiesta,2011,95000,Sedán,5000.0
4817,Honda,Fit,2012,71000,Hatchback,8918.92
5668,Volkswagen,Amarok,2013,130000,Pick-Up,12972.97
5471,Volkswagen,Gol Trend,2012,78000,Hatchback,4459.46
3394,Ford,Fiesta Kinetic Design,2012,68500,Hatchback,6756.76
9528,Volkswagen,Suran,2015,70000,Monovolumen,8378.38
7418,Ford,Fiesta Kinetic Design,2013,58000,Hatchback,8000.0
7952,Volkswagen,Tiguan,2012,63500,SUV,12972.97
5802,Mercedes Benz,Clase C,2013,67000,Sedán,12972.97
