,totals_totalTransactionRevenue,channelGrouping,fullVisitorId,visitNumber,visitStartTime,device_operatingSystem,device_isMobile,geoNetwork_region,geoNetwork_metro,geoNetwork_city,geoNetwork_networkDomain,totals_hits,totals_pageviews,totals_timeOnSite,trafficSource_source,trafficSource_medium
433,17190000.0,Organic Search,9549826748224805897,4,1508200705,Macintosh,False,New York,New York NY,New York,(not set),9,9,261,google,organic
550,13000000.0,Referral,3700714855829972615,11,1508192636,Windows,False,California,Los Angeles CA,Irvine,(not set),15,12,285,(direct),(none)
597,25230000.0,Referral,7187192533100162289,17,1508189401,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Mountain View,(not set),18,16,514,(direct),(none)
619,16310000.0,Referral,7889233516776348524,1,1508190484,Macintosh,False,New York,New York NY,New York,(not set),21,20,487,(direct),(none)
634,51000000.0,Referral,1061090985384136368,2,1508175834,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Mountain View,(not set),23,21,1312,(direct),(none)
654,22980000.0,Referral,8530613607503742741,1,1508193456,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Mountain View,(not set),27,23,848,(direct),(none)
657,44940000.0,Referral,852373578529854535,1,1508166186,Macintosh,False,Illinois,Chicago IL,Chicago,(not set),28,23,2298,(direct),(none)
659,16690000.0,Organic Search,1617947618176891753,1,1508172563,Macintosh,False,Massachusetts,Boston MA-Manchester NH,Boston,unknown.unknown,28,22,664,google,organic
665,22590000.0,Referral,2030041108522427486,1,1508167254,Macintosh,False,New York,New York NY,New York,(not set),30,22,275,(direct),(none)
670,18390000.0,Direct,8377259727591618279,1,1508204034,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,sbcglobal.net,33,31,756,(direct),(none)
678,63090000.0,Referral,1447279966112382026,1,1508176972,Macintosh,False,California,San Francisco-Oakland-San Jose CA,San Francisco,(not set),36,26,3425,(direct),(none)
684,65710000.0,Paid Search,016787854108283646,2,1508196411,Chrome OS,False,California,San Francisco-Oakland-San Jose CA,Mountain View,comcast.net,38,28,898,google,cpc
685,68990000.0,Referral,6253907950302062343,10,1508175918,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Mountain View,(not set),38,29,485,(direct),(none)
692,124190000.0,Referral,5915581399835793502,6,1508169713,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,comcast.net,41,28,567,(direct),(none)
694,17390000.0,Paid Search,1810825910197739134,1,1508189368,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,optonline.net,43,32,1849,google,cpc
698,49000000.0,Referral,0960484403338128999,6,1508192548,Macintosh,False,California,Los Angeles CA,Los Angeles,(not set),46,29,735,(direct),(none)
699,19960000.0,Referral,7406976187075316319,4,1508188866,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Sunnyvale,(not set),47,33,376,(direct),(none)
701,42150000.0,Referral,4281040191770206312,2,1508166286,Macintosh,False,Massachusetts,Boston MA-Manchester NH,Cambridge,(not set),50,33,1852,(direct),(none)
709,34180000.0,Organic Search,5097087346105463693,14,1508214290,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Mountain View,(not set),74,40,821,google,organic
713,18590000.0,Referral,7895381041766747549,1,1508147478,Macintosh,False,New York,New York NY,New York,verizon.net,93,54,817,(direct),(none)
715,906430000.0,Organic Search,309482894121265066,7,1508166548,Windows,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,terago.net,138,111,4459,google,organic
716,17120000.0,Referral,9291001063810206156,3,1508190255,Chrome OS,False,New York,New York NY,New York,(not set),165,98,1079,(direct),(none)
4331,41860000.0,Direct,6194193421514403509,1,1472843572,Linux,False,Michigan,Detroit MI,Ann Arbor,(not set),11,11,493,(direct),(none)
4340,313670000.0,Organic Search,5327166854580374902,3,1472844906,Macintosh,False,New York,New York NY,New York,(not set),11,10,322,google,organic
