,channelGrouping,fullVisitorId,visitNumber,visitStartTime,device_operatingSystem,device_isMobile,geoNetwork_region,geoNetwork_metro,geoNetwork_city,geoNetwork_networkDomain,totals_hits,totals_pageviews,totals_timeOnSite,trafficSource_source,trafficSource_medium
433,Organic Search,9549826748224805897,4,1508200705,Macintosh,False,New York,New York NY,New York,(not set),9,9,261,google,organic
550,Referral,3700714855829972615,11,1508192636,Windows,False,California,Los Angeles CA,Irvine,(not set),15,12,285,(direct),(none)
555,Organic Search,1572225825161580042,6,1508162218,iOS,True,California,San Francisco-Oakland-San Jose CA,Mountain View,purechat.com,15,15,1044,google,organic
597,Referral,7187192533100162289,17,1508189401,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Mountain View,(not set),18,16,514,(direct),(none)
619,Referral,7889233516776348524,1,1508190484,Macintosh,False,New York,New York NY,New York,(not set),21,20,487,(direct),(none)
634,Referral,1061090985384136368,2,1508175834,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Mountain View,(not set),23,21,1312,(direct),(none)
650,Organic Search,4716737341148415941,1,1508185536,Windows,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,unknown.unknown,25,17,765,google,organic
654,Referral,8530613607503742741,1,1508193456,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Mountain View,(not set),27,23,848,(direct),(none)
657,Referral,852373578529854535,1,1508166186,Macintosh,False,Illinois,Chicago IL,Chicago,(not set),28,23,2298,(direct),(none)
659,Organic Search,1617947618176891753,1,1508172563,Macintosh,False,Massachusetts,Boston MA-Manchester NH,Boston,unknown.unknown,28,22,664,google,organic
665,Referral,2030041108522427486,1,1508167254,Macintosh,False,New York,New York NY,New York,(not set),30,22,275,(direct),(none)
670,Direct,8377259727591618279,1,1508204034,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,sbcglobal.net,33,31,756,(direct),(none)
678,Referral,1447279966112382026,1,1508176972,Macintosh,False,California,San Francisco-Oakland-San Jose CA,San Francisco,(not set),36,26,3425,(direct),(none)
684,Paid Search,016787854108283646,2,1508196411,Chrome OS,False,California,San Francisco-Oakland-San Jose CA,Mountain View,comcast.net,38,28,898,google,cpc
685,Referral,6253907950302062343,10,1508175918,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Mountain View,(not set),38,29,485,(direct),(none)
692,Referral,5915581399835793502,6,1508169713,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,comcast.net,41,28,567,(direct),(none)
694,Paid Search,1810825910197739134,1,1508189368,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,optonline.net,43,32,1849,google,cpc
698,Referral,0960484403338128999,6,1508192548,Macintosh,False,California,Los Angeles CA,Los Angeles,(not set),46,29,735,(direct),(none)
699,Referral,7406976187075316319,4,1508188866,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Sunnyvale,(not set),47,33,376,(direct),(none)
701,Referral,4281040191770206312,2,1508166286,Macintosh,False,Massachusetts,Boston MA-Manchester NH,Cambridge,(not set),50,33,1852,(direct),(none)
709,Organic Search,5097087346105463693,14,1508214290,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Mountain View,(not set),74,40,821,google,organic
713,Referral,7895381041766747549,1,1508147478,Macintosh,False,New York,New York NY,New York,verizon.net,93,54,817,(direct),(none)
715,Organic Search,309482894121265066,7,1508166548,Windows,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,terago.net,138,111,4459,google,organic
716,Referral,9291001063810206156,3,1508190255,Chrome OS,False,New York,New York NY,New York,(not set),165,98,1079,(direct),(none)
4331,Direct,6194193421514403509,1,1472843572,Linux,False,Michigan,Detroit MI,Ann Arbor,(not set),11,11,493,(direct),(none)
4340,Organic Search,5327166854580374902,3,1472844906,Macintosh,False,New York,New York NY,New York,(not set),11,10,322,google,organic
4382,Referral,8885051388942907862,7,1472827393,Linux,False,New York,New York NY,New York,(not set),13,11,171,(direct),(none)
4386,Referral,0185467632009737931,6,1472846398,Windows,False,California,San Francisco-Oakland-San Jose CA,Mountain View,(not set),13,12,479,(direct),(none)
4444,Referral,3244885836845029978,4,1472824817,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),17,14,242,(direct),(none)
4450,Referral,3351538799616866750,2,1472855945,Linux,False,California,San Francisco-Oakland-San Jose CA,Mountain View,(not set),17,17,424,(direct),(none)
4474,Direct,1776658355119092313,1,1472861525,Macintosh,False,California,San Francisco-Oakland-San Jose CA,San Jose,comcast.net,19,16,538,(direct),(none)
4492,Referral,770431600902969839,13,1472836071,Linux,False,Washington,Seattle-Tacoma WA,Seattle,(not set),20,15,210,(direct),(none)
4507,Referral,6664733704830724714,7,1472853995,Chrome OS,False,California,San Francisco-Oakland-San Jose CA,Mountain View,(not set),22,20,340,sites.google.com,referral
4508,Organic Search,7147112211830167925,1,1472853332,Android,True,California,San Francisco-Oakland-San Jose CA,Mountain View,directmusicservice.com,22,16,429,google,organic
4515,Organic Search,6045930241388777741,6,1472825504,Windows,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,zoominternet.net,22,16,530,google,organic
4516,Referral,1933981137992581947,4,1472856871,Linux,False,California,San Francisco-Oakland-San Jose CA,Mountain View,(not set),22,16,121,(direct),(none)
4536,Referral,1546626226233851002,3,1472837482,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Sunnyvale,(not set),24,21,571,(direct),(none)
4554,Referral,4755168908070236728,2,1472849608,Linux,False,New York,New York NY,New York,(not set),27,22,388,(direct),(none)
4557,Organic Search,3794016165791476291,1,1472832496,iOS,True,California,San Francisco-Oakland-San Jose CA,San Francisco,att.net,28,20,387,google,organic
4558,Referral,0314733033105141755,1,1472879820,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),28,21,722,(direct),(none)
4582,Direct,747690048733385763,2,1472823219,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,comcast.net,33,24,1185,(direct),(none)
4583,Organic Search,8007300615127214527,3,1472850417,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Sunnyvale,(not set),34,30,688,google,organic
4592,Referral,8516473451212465925,1,1472845932,Macintosh,False,California,San Francisco-Oakland-San Jose CA,San Francisco,(not set),35,29,695,(direct),(none)
4603,Organic Search,6712520540378436905,1,1472853233,Chrome OS,False,California,San Francisco-Oakland-San Jose CA,Mountain View,(not set),38,31,913,google,organic
4604,Referral,3152246617474456269,2,1472828860,Windows,False,Illinois,Chicago IL,Chicago,(not set),38,28,1207,(direct),(none)
4609,Referral,1881458907401964229,1,1472849525,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),41,26,226,(direct),(none)
4611,Referral,1095886019324498043,2,1472835680,Windows,False,California,San Francisco-Oakland-San Jose CA,Mountain View,(not set),41,34,703,(direct),(none)
4619,Referral,8585031285178547027,2,1472858772,Linux,False,California,San Francisco-Oakland-San Jose CA,Mountain View,(not set),47,35,3089,(direct),(none)
4624,Referral,3741689406060673010,2,1472858035,Chrome OS,False,California,San Francisco-Oakland-San Jose CA,Mountain View,(not set),50,36,1002,(direct),(none)
4637,Referral,4293841073200012958,1,1472855651,Macintosh,False,Illinois,Chicago IL,Chicago,rcn.com,67,52,1221,(direct),(none)
4638,Organic Search,0643132668463442280,1,1472867400,Windows,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),67,44,982,google,organic
4639,Referral,1710046532262949205,2,1472835694,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),72,50,1172,(direct),(none)
4645,Referral,7883381818366725194,4,1472851806,Linux,False,California,San Francisco-Oakland-San Jose CA,Mountain View,(not set),92,71,1295,(direct),(none)
4647,Direct,5911716885988565842,1,1472870925,Macintosh,False,New York,New York NY,New York,rr.com,109,82,1265,(direct),(none)
6080,Referral,9340341966296957897,4,1512071393,Macintosh,False,California,San Francisco-Oakland-San Jose CA,San Francisco,(not set),10,10,146,(direct),(none)
6109,Referral,113560599620525482,1,1512058581,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Sunnyvale,(not set),11,8,305,(direct),(none)
6207,Referral,3287935319409551745,1,1512076948,Windows,False,New York,New York NY,New York,(not set),14,10,230,(direct),(none)
6212,Referral,849161684199944498,8,1512093736,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Mountain View,unknown.unknown,14,10,342,(direct),(none)
