;number_of_visits;revenue
0;39;93.91
1;45;56.89
2;43;67.4
3;40;70.21
4;57;73.85
5;44;93.62
6;63;79.94
7;47;61.58
8;91;49.15
9;70;67.76
10;42;85.17
11;51;68.45
12;47;67.44
13;88;38.71
14;68;53.23
15;52;69.4
16;48;57.65
17;33;71.38
18;39;89.4
19;96;30.17
20;43;71.43
21;55;55.16
22;55;70.93
23;56;46.22
24;39;73.15
25;101;44.11
26;35;86.11
27;60;57.49
28;55;70.21
29;91;22.78
30;89;43.12
31;39;59.36
32;40;102.68
33;46;81.53
34;63;49.69
35;54;42.4
36;104;42.93
37;48;57.73
38;93;38.47
39;102;40.58
40;90;33.52
41;60;66.32
42;37;76.09
43;60;95.79
44;98;37.66
45;100;27.03
46;52;61.87
47;52;91.4
48;60;72.37
49;43;84.53
50;39;77.53
51;50;89.79
52;38;83.39
53;93;28.72
54;58;54.88
55;34;85.95
56;93;36.67
57;46;76.96
58;52;72.61
59;43;70.03
60;52;60.79
61;43;101.17
62;111;47.7
63;38;92.95
64;102;33.79
65;51;81.62
66;68;45.84
67;47;87.72
68;42;77.09
69;55;74.17
70;34;78.19
71;37;97.0
72;36;78.36
73;35;95.09
74;33;92.25
75;44;69.54
76;65;70.08
77;87;40.21
78;63;43.73
79;55;81.7
80;100;37.14
81;65;81.8
82;70;61.34
83;36;77.96
84;48;63.5
85;54;50.44
86;53;54.85
87;61;51.68
88;96;33.18
89;37;63.54
90;54;57.2
91;55;51.97
92;46;71.04
93;65;55.39
94;100;27.13
95;55;74.95
96;57;65.54
97;55;51.95
98;60;56.61
99;44;73.87
