number_of_visits;revenue
52;96.47
-9;106.14
39;79.39
71;65.58
26;96.65
59;69.04
55;63.9
6;81.2
63;70.55
6;95.37
66;61.1
37;86.61
72;62.6
31;92.45
0;89.16
28;85.5
73;55.84
74;62.95
-12;94.18
34;83.36
82;65.88
79;75.04
34;88.65
-1;90.19
60;63.92
39;79.77
12;93.13
0;89.73
65;66.16
0;88.57
84;79.76
10;92.91
-4;93.91
72;71.73
5;22.94
66;47.75
75;66.12
4;93.67
4;96.52
10;22.42
57;59.65
77;63.98
19;21.8
76;84.85
2;95.75
59;63.16
37;107.59
16;12.52
-1;100.01
32;-0.02
52;74.84
5;112.01
0;84.05
73;68.81
30;91.06
50;54.49
60;61.34
65;55.34
47;81.74
14;20.31
40;80.97
54;72.52
4;89.76
7;115.16
22;20.64
80;63.17
-5;75.36
8;80.0
8;98.42
10;22.4
65;72.27
-2;76.9
46;70.36
3;103.16
58;78.58
39;97.16
0;81.82
55;61.22
8;89.61
32;109.89
28;5.7
30;83.77
40;89.91
5;92.16
33;93.59
2;88.47
-7;97.45
20;24.68
63;65.12
11;99.03
9;94.38
7;83.7
16;101.65
9;107.84
33;99.18
38;102.82
11;93.73
69;71.35
63;49.3
-3;97.37
-6;81.82
49;76.16
81;68.3
22;18.06
84;48.65
40;102.88
23;90.57
34;0.66
40;91.99
67;61.72
8;101.63
2;103.0
11;24.31
79;50.02
44;97.7
33;95.96
44;85.3
29;18.84
47;81.03
54;59.43
-1;90.55
13;85.44
17;94.29
23;80.15
77;77.39
15;92.95
1;87.3
-14;88.93
47;72.43
45;102.52
21;2.7
57;52.39
62;52.36
73;79.57
35;97.93
29;97.59
33;103.53
5;12.92
28;4.16
-4;87.03
26;91.71
61;74.92
33;91.35
66;53.34
73;77.86
38;79.17
4;96.59
25;9.94
9;17.33
8;11.12
73;71.49
10;85.0
11;84.14
75;54.15
49;93.27
-3;101.56
13;11.66
65;81.76
37;93.19
11;10.37
6;80.43
62;64.82
-10;97.38
73;50.72
38;92.68
12;88.08
53;59.74
8;79.3
76;64.35
4;95.24
5;78.6
71;62.28
75;62.64
75;70.32
79;52.59
66;57.29
-4;101.27
74;49.9
17;10.8
4;89.83
-11;82.41
13;82.0
78;53.01
3;11.73
5;79.44
4;113.59
28;98.08
56;62.33
12;16.65
23;20.81
4;93.7
6;91.38
37;83.67
13;5.62
27;4.11
65;76.87
55;66.2
9;82.11
60;82.65
15;10.39
15;82.86
5;84.31
0;17.09
82;53.3
59;62.53
36;92.66
25;89.31
7;82.56
18;10.06
36;103.1
12;85.34
75;71.09
48;75.31
0;103.36
40;107.38
60;60.41
68;56.74
23;80.48
32;23.86
-4;82.55
73;59.77
59;78.45
5;99.66
55;64.46
-1;93.53
77;62.24
54;62.15
3;98.98
0;87.82
67;86.08
63;63.29
71;81.63
19;22.53
21;20.48
54;66.91
9;13.7
75;66.48
71;53.84
6;89.17
36;98.3
57;76.55
32;20.67
8;85.58
-17;90.62
25;10.87
64;73.3
6;108.52
2;110.4
9;98.88
10;91.64
64;63.73
51;69.28
5;86.99
7;86.72
2;91.6
10;92.38
4;95.41
5;93.62
11;83.41
2;90.34
-10;7.4
43;96.44
8;90.14
88;63.66
76;59.28
30;92.6
72;75.12
64;63.65
16;86.79
9;14.68
65;61.81
16;20.9
15;16.54
72;50.52
33;99.41
6;90.6
16;6.98
19;46.42
-11;101.34
8;87.95
72;71.4
43;105.92
75;59.27
69;66.72
11;16.25
8;15.12
24;15.68
0;84.91
2;93.17
9;21.04
52;76.3
13;21.67
17;10.62
43;70.09
32;99.96
-2;85.48
7;19.3
49;90.93
-2;103.03
32;92.74
